File Name,Frame Index,Content
L13_V001,120,Kính chào quý vị chúng tôi rất vui được
L13_V001,121,Kính chào quý vị chúng tôi rất vui được
L13_V001,122,Kính chào quý vị chúng tôi rất vui được
L13_V001,123,Kính chào quý vị chúng tôi rất vui được
L13_V001,124,Kính chào quý vị chúng tôi rất vui được
L13_V001,125,Kính chào quý vị chúng tôi rất vui được
L13_V001,126,Kính chào quý vị chúng tôi rất vui được
L13_V001,127,Kính chào quý vị chúng tôi rất vui được
L13_V001,128,Kính chào quý vị chúng tôi rất vui được
L13_V001,129,Kính chào quý vị chúng tôi rất vui được
L13_V001,130,Kính chào quý vị chúng tôi rất vui được
L13_V001,131,Kính chào quý vị chúng tôi rất vui được
L13_V001,132,Kính chào quý vị chúng tôi rất vui được
L13_V001,133,Kính chào quý vị chúng tôi rất vui được
L13_V001,134,Kính chào quý vị chúng tôi rất vui được
L13_V001,135,Kính chào quý vị chúng tôi rất vui được
L13_V001,136,Kính chào quý vị chúng tôi rất vui được
L13_V001,137,Kính chào quý vị chúng tôi rất vui được
L13_V001,138,Kính chào quý vị chúng tôi rất vui được
L13_V001,139,Kính chào quý vị chúng tôi rất vui được
L13_V001,140,Kính chào quý vị chúng tôi rất vui được
L13_V001,141,Kính chào quý vị chúng tôi rất vui được
L13_V001,142,Kính chào quý vị chúng tôi rất vui được
L13_V001,143,Kính chào quý vị chúng tôi rất vui được
L13_V001,144,Kính chào quý vị chúng tôi rất vui được
L13_V001,145,Kính chào quý vị chúng tôi rất vui được
L13_V001,146,Kính chào quý vị chúng tôi rất vui được
L13_V001,147,Kính chào quý vị chúng tôi rất vui được
L13_V001,148,Kính chào quý vị chúng tôi rất vui được
L13_V001,149,Kính chào quý vị chúng tôi rất vui được
L13_V001,150,Kính chào quý vị chúng tôi rất vui được
L13_V001,151,Kính chào quý vị chúng tôi rất vui được
L13_V001,152,Kính chào quý vị chúng tôi rất vui được
L13_V001,153,Kính chào quý vị chúng tôi rất vui được
L13_V001,154,Kính chào quý vị chúng tôi rất vui được
L13_V001,155,Kính chào quý vị chúng tôi rất vui được
L13_V001,156,Kính chào quý vị chúng tôi rất vui được
L13_V001,157,Kính chào quý vị chúng tôi rất vui được
L13_V001,158,Kính chào quý vị chúng tôi rất vui được
L13_V001,159,Kính chào quý vị chúng tôi rất vui được
L13_V001,160,Kính chào quý vị chúng tôi rất vui được
L13_V001,161,Kính chào quý vị chúng tôi rất vui được
L13_V001,162,Kính chào quý vị chúng tôi rất vui được
L13_V001,163,Kính chào quý vị chúng tôi rất vui được
L13_V001,164,Kính chào quý vị chúng tôi rất vui được
